title,start_date,start_time,end_date,end_time,is_all_day,summary,description,location,tags,categories,image,image_alt,is_starred,status,is_canceled,is_online,online_type,online_url,online_button_label,online_instructions,cost,related_content,has_registration,registrations_received
Welcome Back Kickoff,03/02/2026,11:00 AM,03/02/2026,1:00 PM,,"Kick off the semester with food, music, and giveaways on the quad.","<p>Join us on the quad for the semester kickoff celebration. Free food, live music, and giveaways all afternoon.</p>",Main Quad,Student Event|Undergraduate,Open to the Public|Student Organizations,element5-digital-jCIMcOpFHig-unsplash.jpg,Students gathered together outdoors,1,1,,,,,,,Free,,,
Academic Advising Walk-In Hours,03/02/2026,,03/02/2026,,1,"Drop by for help planning next term's schedule, no appointment needed.","<p>Advisors are available all day for walk-in questions about course selection, degree requirements, and registration holds.</p>",Advising Center,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Financial Aid Info Session,03/02/2026,2:00 PM,03/02/2026,3:00 PM,,Learn how to read your aid package and plan for next year.,"<p>Financial aid staff walk through award letters, work-study, and how to appeal or update a financial aid package.</p>","Student Union, Room 210",Seminar,Academic Events,eliott-reyna-jCEpN62oWL4-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Guest Lecture: Climate Futures,03/03/2026,4:00 PM,03/03/2026,5:30 PM,,A visiting scholar discusses climate adaptation strategies for coastal cities.,"<p>Dr. Elena Marsh presents recent research on climate adaptation strategies for coastal cities, followed by Q&amp;A.</p>","Science Hall, Room 204",Lecture,Academic Events,javier-trueba-iQPr1XkF5F0-unsplash.jpg,Speaker presenting to an audience,,1,,1,2,https://example.edu/webconference/climate-futures,Join Webconference,Link goes live 10 minutes before start.,,,1,"[{""firstname"": ""Priya"", ""lastname"": ""Anand"", ""email"": ""priya.anand@example.edu"", ""attending"": 1}, {""firstname"": ""Marcus"", ""lastname"": ""Webb"", ""email"": ""marcus.webb@example.edu"", ""attending"": 1, ""comments_by_registrant"": ""Will this be recorded for those who can't make it?""}, {""firstname"": ""Dana"", ""lastname"": ""Okafor"", ""email"": ""dana.okafor@example.edu"", ""attending"": 1, ""comments_by_registrant"": ""Looking forward to this!""}, {""firstname"": ""Sam"", ""lastname"": ""Rivera"", ""email"": ""sam.rivera@example.edu"", ""attending"": 1, ""is_waitlisted"": 1}]"
Intramural Volleyball Open Play,03/03/2026,6:00 PM,03/03/2026,8:00 PM,,"Drop-in volleyball, no team or sign-up required.","<p>Open gym volleyball for all skill levels. Balls and nets provided, just bring athletic shoes.</p>","Recreation Center, Court 2",Volleyball,Athletics,taiki-ishikawa-ZKFNj-Hc2Q0-unsplash.jpg,Volleyball players competing on the court,,1,,,,,,,,,,
Last Day to Add/Drop Courses,03/04/2026,,03/04/2026,,1,Final day to add or drop a course without a transcript notation.,<p>Schedule changes submitted after 11:59pm today will require instructor and advisor approval.</p>,Registrar's Office,,Dates & Deadlines,,,,1,,,,,,,,,,
Women's Basketball vs. Riverdale State,03/04/2026,7:00 PM,03/04/2026,9:00 PM,,Conference matchup against Riverdale State.,<p>Come support the team as they take on Riverdale State in a key conference matchup.</p>,Fieldhouse Arena,Basketball|Women's Sports,Athletics,hannah-gibbs-WOC-DFTx8IY-unsplash.jpg,Basketball players competing on the court,,1,,,,,,,Free,,,
Career Fair Prep Workshop,03/04/2026,1:00 PM,03/04/2026,2:00 PM,,Get resume and elevator-pitch ready ahead of next week's career fair.,<p>Career services staff review resumes and run through quick mock introductions before the career fair.</p>,Career Services Suite,Service,Community Outreach,joshua-hoehne-iggWDxHTAUQ-unsplash.jpg,Students working together at a table,,1,,,,,,,,,,
Men's Football vs. Eastbrook,03/05/2026,6:00 PM,03/05/2026,8:00 PM,,Non-conference matchup under the lights.,<p>An evening non-conference matchup against Eastbrook on the home field.</p>,"Athletics Complex, Football Field",Football|Men's Sports,Athletics,riley-mccullough-iezcEpGuYdE-unsplash.jpg,Football players competing on the field,,1,,,,,,,Free,,,
Open Mic Night,03/05/2026,8:00 PM,03/05/2026,10:00 PM,,"Sign up to share music, poetry, or comedy.","<p>Sign-ups start at 7:30pm. All performance types welcome, five-minute sets.</p>",The Underground Coffeehouse,Student Event,Student Organizations,matthew-jungling-l3abtqeY38E-unsplash.jpg,Person performing on a small stage,,1,,,,,,,Free,,,
